person_age,person_gender,person_income,person_emp_exp,person_home_1ership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,class
22,1,71948,0,0,35000,16.02,0.49,3,561,0,1
21,1,12282,0,1,1000,11.14,0.08,2,504,1,0
25,1,12438,3,2,5500,12.87,0.44,3,635,0,1
23,1,79753,0,0,35000,15.23,0.44,2,675,0,1
24,0,66135,1,0,35000,14.27,0.53,4,586,0,1
21,1,12951,0,1,2500,7.14,0.19,2,532,0,1
26,1,93471,1,0,35000,12.42,0.37,3,701,0,1
24,1,95550,5,0,35000,11.11,0.37,4,585,0,1
24,1,100684,3,0,35000,8.9,0.35,2,544,0,1
21,1,12739,0,1,1600,14.74,0.13,3,640,0,1
22,1,102985,0,0,35000,10.37,0.34,4,621,0,1
21,1,13113,0,1,4500,8.63,0.34,2,651,0,1
23,0,114860,3,0,35000,7.9,0.3,2,573,0,1
26,0,130713,0,0,35000,18.39,0.27,4,708,0,1
23,1,138998,0,0,35000,7.9,0.25,4,583,0,0
23,1,600891,5,2,30000,10.65,0.05,3,670,1,0
23,0,144943,0,0,35000,7.9,0.24,4,663,0,0
23,1,111369,0,0,35000,20,0.31,4,694,0,1
23,0,136628,0,0,35000,18.25,0.26,4,709,0,1
24,1,14283,1,2,1750,10.99,0.12,2,679,0,1
25,0,195718,0,0,35000,7.49,0.18,4,684,1,0
25,0,165792,4,0,34800,16.77,0.21,2,662,0,0
22,1,79255,0,0,34000,17.58,0.43,4,691,0,1
24,1,13866,0,1,1500,7.29,0.11,3,600,1,0
22,0,97420,1,0,33950,14.54,0.35,4,691,0,1
24,1,82443,0,0,33000,12.68,0.4,3,654,0,1
21,1,14288,0,2,4575,17.74,0.32,3,626,0,1
23,0,14293,0,1,1400,9.32,0.1,3,607,0,0
24,1,79054,1,0,32500,9.99,0.41,3,700,0,1
21,1,14988,0,3,4000,12.84,0.27,2,553,0,1
21,0,14858,0,1,2000,11.12,0.13,3,589,0,1
25,0,144855,1,0,32000,6.62,0.22,2,586,1,0
26,0,114645,2,0,31050,14.17,0.27,3,681,0,1
25,1,368115,3,0,24250,13.85,0.07,3,567,1,0
26,1,361076,1,2,7800,13.49,0.02,4,669,0,0
21,0,15150,0,1,2500,7.51,0.17,4,600,0,1
22,1,58868,0,0,30000,18.39,0.51,2,606,0,1
24,0,78026,3,0,30000,14.54,0.38,3,582,0,1
25,0,90785,4,0,30000,16.89,0.33,4,649,0,1
